"NAME","FACID","STATEID","MCARE_ID","TELEPHONE","FAXPHONE","FACEMAIL","ABBREV","ADDRESS","FAC_CITY","FAC_ST","FAC_ZIP","FACTYPE","OPERSTDESC","CLOSEDDATE","CNTYNAME","LIC_BED_TOTAL","CERT_BED_TOTAL","OPENDATE","BED_EFFECTIVE_DATE"
"24 - SEVEN HOME HEALTH CARE LLC","OHL51555","1525HHS","","6147626767","","bdulai@24sevenhhc.com","SL-HMED","1616 LANCASTER AVE","REYNOLDSBURG","OH","43068","LA1","ACTIVE","","FAIRFIELD","","","05/08/2023",""
"2ND FAMILY","OHL50712","0706HHN","","7404623152","","jeff.neidig@2ndfamily.com","SL-HNM","245 W STATE STREET, SUITE B","NEWCOMERSTOWN","OH","43832","LA2","ACTIVE","","TUSCARAWAS","","","09/30/2022",""
"360 HEALTHCARE LLC","OHL51434","1412HHS","","6149466500","","kyanna@ohio360.org","SL-HMED","5272 SABINE HALL","NEW ALBANY","OH","43054","LA1","ACTIVE","","FRANKLIN","","","05/23/2026",""
"360 SENIOR HEALTHCARE, INC.","OHL51561","1529HHS","","5134076666","","info@360seniorhealthcare.com","SL-HMED","3012 GLENMORE AVE. SUITE #302","CINCINNATI","OH","45238","LA1","ACTIVE","","HAMILTON","","","08/11/2023",""
"360 TOTAL CARE, LLC","OHL51565","1533HHN","","9379526004","","cjoiner@360totalcare.com","SL-HNM","168 W. FRANKLIN ST","DAYTON","OH","45459","LA2","ACTIVE","","MONTGOMERY","","","08/03/2023",""
"3C CULTURE, LLC","OHL51681","1643HHN","","7403858555","","joyce@3cculture.com","SL-HNM","68319 STATE ROUTE 56","NEW PLYMOUTH","OH","45654","LA2","ACTIVE","","VINTON","","","09/20/2023",""
"3C HOME CARE LLC","OHL50249","0244HHN","","6144714300","","3chomecare1@gmail.com","SL-HNM","2720 AIRPORT DRIVE, SUITE 140 B","COLUMBUS","OH","43219","LA2","ACTIVE","","FRANKLIN","","","09/30/2022",""
"3C HOME HEALTH CARE LLC","OHL50248","0243HHS","","6144714300","","3chomecare@gmail.com","SL-HMED","2720 AIRPORT DRIVE, SUITE 140","COLUMBUS","OH","43219","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"4 EVER CARING LLC","OHL51514","1490HHN","","2162442640","","patricenpreston@yahoo.com","SL-HNM","8734 MAVIS TRAIL","STREETSBORO","OH","44241","LA2","ACTIVE","","PORTAGE","","","07/18/2023",""
"4EVERREADY HOME CARE","OHL98967","2244HHN","","9376105500","","richard.harris@4everreadyhhc.com","SL-HNM","3535 SALEM AVE","DAYTON","OH","45406","LA2","ACTIVE","","MONTGOMERY","","","05/08/2024",""
"5 ELEMENTS HOME HEALTHCARE LLC","OHL6858","3417HHS","","6145990059","","5elementshomehealthcare@gmail.com","SL-HMED","109 BRANDON DRIVE","PATASKALA","OH","43062","LA1","ACTIVE","","LICKING","","","10/24/2024",""
"5ARKAN","OHL51517","1493HHN","","6148975552","","mm_kk448@yahoo.com","SL-HNM","4787 MATTOX DR","COLUMBUS","OH","43228","LA2","ACTIVE","","FRANKLIN","","","08/22/2023",""
"6 ROSES HOME HEALTH CARE","OHL51378","1359HHN","","9376238277","","njaber@6roses-hhc.com","SL-HNM","6430 CHAMBERSBURG ROAD","DAYTON","OH","45458","LA2","ACTIVE","","MONTGOMERY","","","04/19/2023",""
"7TH & HENDRIX HOME CARE LLC","OHL98877","2161HHN","","2164844597","","tplummer37@icloud.com","SL-HNM","11811 SHE 204 #1051","CLEVELAND","OH","44120","LA2","ACTIVE","","CUYAHOGA","","","03/26/2024",""
"A & L HOME CARE AND TRAINING CENTER, LLC","OHL50617","0611HHS","","7408867623","","alhctc@frontier.com","SL-HMED","6129 COUNTY ROAD 107","PROCTORVILLE","OH","45669","LA1","ACTIVE","","LAWRENCE","","","09/30/2022",""
"A AMERICAN HOME HEALTH CARE EXPERTS INC.","OHL51664","1629HHS","","6143642023","","esther_biaka@yahoo.com","SL-HMED","2323 LAKE CLUB DRIVE, SUITE 220","COLUMBUS","OH","43232","LA1","ACTIVE","","FRANKLIN","","","09/15/2023",""
"A BEST HOME CARE, INC.","OHL52111","1993HHN","","5132040130","","lmorozova@abesthomecare.com","SL-HNM","4727 CORNELL RD SUITE 1D","BLUE ASH","OH","45241","LA2","ACTIVE","","HAMILTON","","","01/17/2024",""
"A BETTER ALTERNATIVE TO SENIOR CARE","OHL51901","1801HHS","","2165810610","","alena.benton@abatsc.com","SL-HMED","20670 SOUTHGATE PARK BLVD","MAPLE HEIGHTS","OH","44137","LA1","ACTIVE","","CUYAHOGA","","","11/24/2023",""
"A BETTER CHOICE CARE LLC","OHL52015","1905HHS","","6148166686","","abetterchoicecarellc@gmail.com","SL-HMED","2700 E DUBLIN-GRANVILLE RD, STE 270B","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","01/23/2024",""
"A BETTER SOLUTION IN HOME CARE","OHL51228","1216HHN","","5137439393","","smueller@absihc.com","SL-HNM","4555 LAKE FOREST DRIVE, STE 650","CINCINNATI","OH","45242","LA2","ACTIVE","","HAMILTON","","","08/04/2023",""
"A BETTER WAY TO LIVING HEALTH AIDE CARE LLC","OHL99250","3064HHN","","2169033990","","shante789@gmail.com","SL-HNM","4294 EAST 162ST","CLEVELAND","OH","44128","LA2","ACTIVE","","CUYAHOGA","","","05/13/2024",""
"A BLESSING TO YOU HOME CARE SERVICES","OHL51986","1880HHN","","2342059492","","ablessingtoyouhomecare@yahoo.com","SL-HNM","1381 HART ST","AKRON","OH","44306","LA2","ACTIVE","","SUMMIT","","","01/07/2024",""
"A BRAND NEW HORIZON, LLC","OHL98955","2234HHN","","9372333720","","abrandnewhorizon2005@gmail.com","SL-HNM","4752 FISHBURG ROAD SUITE G","HUBER HEIGHTS","OH","45424","LA2","ACTIVE","","MONTGOMERY","","","03/06/2024",""
"A BRIGHT LAND EXPERIENCE ","OHL52009","1899HHN","","5133809848","","raichelllambert@gmail.com","SL-HNM","11427 REED HARTMAN HWY","CINCINNATI","OH","45241","LA2","ACTIVE","","HAMILTON","","","01/12/2024",""
"A CARING COMPANION HOME CARE, LLC","OHL99143","2961HHN","","9372709361","","info@caringcompanionhhc.com","SL-HNM","1320 TAYFIELD COURT","DAYTON","OH","45414","LA2","ACTIVE","","MONTGOMERY","","","05/31/2024",""
"A CARING HEALTHCARE, LLC","OHL50999","0989HHS","","6148446666","","acaringhealthcare@gmail.com","SL-HMED","2021 EAST DUBLIN GRANVILLE ROAD, STE 228","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","07/17/2023",""
"A CARING HEART LLC","OHL99061","2880HHN","","5672316250","","sarahlundy1983@gmail.com","SL-HNM","11250 YANKEE ST","FREDERICKTOWN","OH","43019","LA2","ACTIVE","","KNOX","","","05/23/2024",""
"A DEFINED WAY HEALTHCARE ","OHL6977","3548HHN","","5132933239","","info@definedbeautybar.com","SL-HNM","5559 COLERAIN AVE","CINCINNATI","OH","45239","LA2","ACTIVE","","HAMILTON","","","09/11/2024",""
"A DIVINE PLACE FOR PEACE","OHL51267","1252HHN","","2162537083","","orr.danielle2013@yahoo.com","SL-HNM","2000 LEE RD","CLEVELAND HEIGHTS","OH","44118","LA2","ACTIVE","","CUYAHOGA","","","09/20/2024",""
"A DOZEN OF C'S HOME CARE INC","OHL51480","1456HHN","","6145050005","","stacia@adozenofchomecare2.com","SL-HNM","77 E WILSON BRIDGE RD, STE 106","WORTHINGTON","OH","43085","LA2","ACTIVE","","FRANKLIN","","","06/21/2023",""
"A ELEVATED CARE","OHL42523","0112HNN","","9377237398","","alieina@aelevatedcare.com","SL-HNM","751 MIA AVE","DAYTON","OH","45417","LA2","ACTIVE","","MONTGOMERY","","","09/30/2022",""
"A FRIEND INDEED LLC","OHL99046","2865HHN","","4407536333","","afriendindeedservices@outlook.com","SL-HNM","29460 SHAKER DR","WICKLIFFE","OH","44092","LA2","ACTIVE","","LAKE","","","05/14/2024",""
"A GOLDEN TOUCH HEALTH CARE AGENCY, LLC","OHL99305","3119HHN","","2162456771","","k.allen@goldentouchhca.com","SL-HNM","4635 RICHMOND RD STE 105","WARRENSVILLE HEIGHTS","OH","44128","LA2","ACTIVE","","CUYAHOGA","","","05/09/2024",""
"A GREAT CHOICE FOR HOME CARE INC","OHL50852","0845HHN","","9193961222","","agcfhc@hotmail.com","SL-HNM","626 MABEL STREET","YOUNGSTOWN","OH","44502","LA2","ACTIVE","","MAHONING","","","10/28/2022",""
"A HEART2HAVE HEALTH CENTER","OHL98915","2197HHN","","3302309950","","sbrooks@nextlevelliving.biz","SL-HNM","5900 DETROIT AVE","CLEVELAND","OH","44102","LA2","ACTIVE","","CUYAHOGA","","","03/01/2024",""
"A HEAVENLY HELPER HOME CARE","OHL6737","3492HHN","","4402058277","","tjochum@hhahomecare.com","SL-HNM","8324 TYLER BLVD","MENTOR","OH","44060","LA2","ACTIVE","","LAKE","","","10/31/2024",""
"A HELPFUL HAND HOME CARE LLC","OHL51400","1380HHN","","4195091851","","ahelpfulhandhcllc@yahoo.com","SL-HNM","4445 MERRY LANE","TOLEDO","OH","43615","LA2","ACTIVE","","LUCAS","","","05/02/2023",""
"A LIFETIME OF LOVE","OHL6912","3537HHN","","3309566073","","mignon83@msn.com","SL-HNM","831 MARKET AVE N","CANTON","OH","44705","LA2","ACTIVE","","STARK","","","10/30/2024",""
"A LIGHT IN YOUR LIFE HOME CARE LLC","OHL51755","1712HHS","","2169261588","","kbwalker95@gmail.com","SL-HMED","319 KASTLEKOVE DR","LEWIS CENTER","OH","43035","LA1","ACTIVE","","DELAWARE","","","10/24/2023",""
"A LITTLE SOMETHING EXTRA LLC","OHL50859","0852HHN","","2167727062","","tanisha@live.com","SL-HNM","8536 CROW DRIVE STE 215","MACEDONIA","OH","44056","LA2","ACTIVE","","SUMMIT","","","09/30/2022",""
"A LOVING COMPANION HOME CARE LLC","OHL51391","1371HHN","","5137029373","","sjackson@alovingcompanionhomecare.com","SL-HNM","2300 MONTANA AVENUE","CINCINNATI","OH","45211","LA2","ACTIVE","","HAMILTON","","","04/21/2023",""
"A LOVING HEART HOME HEALTH CARE, LLC","OHL42446","0035HHS","","9375494484","","info@alovingheathhc.com","SL-HMED","255 CABIN CREEK ROAD","MANCHESTER","OH","45144","LA1","ACTIVE","","ADAMS","","","09/30/2022",""
"A LOVING HEART PERSONAL CARE, LLC","OHL50889","0882HHN","","9375494484","","alovingheart03@yahoo.com","SL-HNM","255 CABIN CREEK ROAD","MANCHESTER","OH","45144","LA2","ACTIVE","","ADAMS","","","10/03/2022",""
"A MIRACLE HOME CARE SKILLED CO","OHL52143","2025HHS","","5139361313","","obiller@amhcskilled.com","SL-HMED","10490 TACONIC TERRACE, STE 300","CINCINNATI","OH","45215","LA1","ACTIVE","","HAMILTON","","","02/01/2024",""
"A MIRACLES TOUCH","OHL51796","1751HHN","","5135106118","","amiraclesstouch@gmail.com","SL-HNM","4439 READING ROAD","CINCINNATI","OH","45229","LA2","ACTIVE","","HAMILTON","","","10/31/2023",""
"A MOTHER'S TOUCH HOME CARE","OHL6824","3592HHN","","6144670411","","sparsons@amotherstouchhc.com","SL-HNM","350 E 1ST AVE STE. 100","COLUMBUS","OH","43201","LA2","ACTIVE","","FRANKLIN","","","12/01/2024",""
"A NEW HOPE HOME CARE LLC","OHL51129","1115HHN","","9375220495","","manager@anewhopehomehealthcare.com","SL-HNM","547 WEST SECOND STREET","XENIA","OH","45385","LA2","ACTIVE","","GREENE","","","11/28/2022",""
"A PLACE AT HOME WEST CHESTER","OHL50273","0268HHN","","5138043510","","inenhe.khalid@aplaceathome.com","SL-HNM","8050 BECKETT CENTER DRIVE SUITE 326","WEST CHESTER","OH","45069","LA2","ACTIVE","","BUTLER","","","10/01/2022",""
"A PLACE AT HOME- DUBLIN","OHL51669","1633HHN","","7407074974","","fatema.kapasi@aplaceathome.com","SL-HNM","7877 LYDIA DR","LEWIS CENTER","OH","43035","LA2","ACTIVE","","DELAWARE","","","09/18/2023",""
"A PLUS HOME CARE AGENCY LLC","OHL52155","2036HHN","","8882238033","","jaylee1003@yahoo.com","SL-HNM","4930 REED RD, STE 102","COLUMBUS","OH","43220","LA2","ACTIVE","","FRANKLIN","","","03/06/2024",""
"A PROMISE TO CARE EAST","OHL51736","1694HHN","","2162823099","","ceo@apromisetocareeastllc.com","SL-HNM","35104 EUCLID AVE 206","WILLOUGHBY","OH","44094","LA2","ACTIVE","","LAKE","","","10/05/2023",""
"A TO Z HEALTH PROVISIONS","OHL7194","3938HHN","","2164170041","","rjohnsonazhealth@gmail.com","SL-HNM","3729 E 131ST STREET","CLEVELAND","OH","44120","LA2","ACTIVE","","CUYAHOGA","","","03/04/2025",""
"A TOUCH OF GRACE HEALTHCARE","OHL99433","3241HHS","","7403977971","","tammy@atouchofgracehomehealth.com","SL-HMED","809 COSHOCTON AVE SUITE B","MOUNT VERNON","OH","43050","LA1","ACTIVE","","KNOX","","","08/13/2024",""
"A TRUE CALL","OHL98839","2124HHN","","5135578811","","d_hutchin@yahoo.com","SL-HNM","863 ACADEMY UNIT #5","CINCINNATI","OH","45205","LA2","ACTIVE","","HAMILTON","","","02/06/2024",""
"A UNIQUE FAMILY UNDIVIDED LLC","OHL52142","2024HHN","","3309150049","","abell9214@gmail.com","SL-HNM","2241 16TH ST NE","CANTON","OH","44705","LA2","ACTIVE","","STARK","","","02/06/2024",""
"A WARM EMBRACE HOME HEALTH AGENCY LLC","OHL6924","3645HHN","","2168686641","","tishcrowe@gmail.com","SL-HNM","2490 LEE ROAD SUITE 312","CLEVELAND HEIGHTS","OH","44118","LA2","ACTIVE","","CUYAHOGA","","","12/11/2024",""
"A WYSE CHOICE HOME CARE LLC","OHL98845","2130HHN","","4199130089","","awysechoice7@gmail.com","SL-HNM","621 PRENTICE AVE","TOLEDO","OH","43605","LA2","ACTIVE","","LUCAS","","","04/02/2024",""
"A&D HEALTH CARE PROFESSIONALS INC.","OHL50636","0630HHS","","9372366750","","mbrown@a-dhomecare.com","SL-HMED","1601 NEEDMORE ROAD SUITES 1 & 2","DAYTON","OH","45414","LA1","ACTIVE","","MONTGOMERY","","","09/30/2022",""
"A&M HOME CARE AGENCY","OHL51773","1729HHN","","2165451570","","thisiscle@amhomecareagencies.com","SL-HNM","3100 EAST 45TH ST SUITE 518","CLEVELAND","OH","44127","LA2","ACTIVE","","CUYAHOGA","","","10/04/2023",""
"A&V AIDE SERVICES","OHL99490","3296HHN","","2165121854","","armanelawson@yahoo.com","SL-HNM","22121 LIBBY ROAD APT 106HH","BEDFORD HEIGHTS","OH","44146","LA2","ACTIVE","","CUYAHOGA","","","09/12/2024",""
"A+ CARE SERVICES LLC","OHL99507","3313HHN","","9375402273","","apluscareservicesllc@gmail.com","SL-HNM","6545 MARKET AVE N SUITE 100","CANTON","OH","44721","LA2","ACTIVE","","STARK","","","08/12/2024",""
"A-1 ASSOCIATED NURSES, INC","OHL51029","1019HHS","","4195892776","","a1associatednurses@gmail.com","SL-HMED","1298 ASHLAND ROAD","MANSFIELD","OH","44905","LA1","ACTIVE","","RICHLAND","","","07/17/2023",""
"A-1 NURSING CARE, INC","OHL50245","0240HHS","","6142683800","","sanjay@a1columbus.com","SL-HMED","2550 CORPORATE EXCHANGE DRIVE","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"A-PLUS CARE, INC","OHL51173","1158HHS","","5132290372","","apluscareinc@gmail.com","SL-HMED","8976 COLUMBIA ROAD","LOVELAND","OH","45140","LA1","ACTIVE","","CLERMONT","","","01/11/2023",""
"A-PLUS HOME HEALTH AGENCY, LLC","OHL51717","1677HHN","","2162109577","","racine@aplushha.com","SL-HNM","5311 NORTHFIELD RD STE 420","BEDFORD HEIGHTS","OH","44146","LA2","ACTIVE","","CUYAHOGA","","","09/27/2023",""
"A-PLUS HOME HEALTH AGENCY, LLC","OHL51928","1826HHS","","4402529898","","racine@aplushha.com","SL-HMED","5311 NORTHFIELD RD STE 420","BEDFORD HEIGHTS","OH","44146","LA1","ACTIVE","","CUYAHOGA","","","11/29/2023",""
"A-Z HOME HEALTHCARE SERVICES, INC","OHL50315","0310HHN","","3303641900","","admin@aznursingservices.com","SL-HNM","113 4TH STREET NW","NEW PHILADELPHIA","OH","44663","LA2","ACTIVE","","TUSCARAWAS","","","09/30/2022",""
"A-Z NURSING SERVICES, INC","OHL51476","1452HHS","","3303641900","","admin@aznursingservices.com","SL-HMED","875 BLAKE AVE SW STE 3","NEW PHILADELPHIA","OH","44663","LA1","ACTIVE","","TUSCARAWAS","","","10/07/2022",""
"A.L.I.C.E. HOMECARE LLC","OHL51610","1575HHN","","4405451090","","latricefloyd22@gmail.com","SL-HNM","7003 PEARL RD STE 18","MIDDLEBURG HEIGHTS","OH","44130","LA2","ACTIVE","","CUYAHOGA","","","08/28/2023",""
"A1 HOMECARE LLC","OHL51198","1189HHN","","4125004120","","a1homecareohio@gmail.com","SL-HNM","4717 BOULDER LANE","LORAIN","OH","44053","LA2","ACTIVE","","LORAIN","","","01/23/2023",""
"A1 NURSING SOLUTION, LLC","OHL50942","0934HHS","","6149551259","6143403749","a1nursingsolution@gmail.com","SL-HMED","733 E DUBLIN-GRANVILLE ROAD, SUITE 206","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"A2Z HOME CARE CONSULTANTS, LLC","OHL51754","1711HHN","","6147078874","","warsameali91@hotmail.com","SL-HNM","5200 CLEVELAND AVE","COLUMBUS","OH","43231","LA2","ACTIVE","","FRANKLIN","","","10/19/2023",""
"AA HOME HEALTH CARE","OHL51414","1393HHN","","2522262001","","mscales10@gmail.com","SL-HNM","1328 WOOD FERN DR","AKRON","OH","44312","LA2","ACTIVE","","SUMMIT","","","05/10/2023",""
"AAA HEALTH CARE SERVICES LLC","OHL6803","3519HHN","","6143773698","","healthcareservicesaaa@gmail.com","SL-HNM","3350 CLEVELAND AVE STE 1936","COLUMBUS","OH","43224","LA2","ACTIVE","","FRANKLIN","","","11/20/2024",""
"AAJ SENIOR CARE LLC","OHL98790","2076HHN","","6148057328","","aajsenior@outlook.com","SL-HNM","700 BRYDEN RD, STE 236","COLUMBUS","OH","43215","LA2","ACTIVE","","FRANKLIN","","","03/15/2024",""
"AAJ SENIOR CARE LLC","OHL6821","3582HHS","","6148057328","","aajsenior@outlook.com","SL-HMED","36 N WESTMOOR AVE","COLUMBUS","OH","43204","LA1","ACTIVE","","FRANKLIN","","","11/27/2024",""
"AAMIRA HOME HEALTH CARE LLC","OHL7305","3876HHS","","8569043590","","homecareaamira@gmail.com","SL-HMED","3100 EAST 45TH ST SUITE 510","CLEVELAND","OH","44127","LA1","ACTIVE","","CUYAHOGA","","","12/31/2024",""
"AARAN HOME HEALTH SERVICE LLC","OHL50800","0793HHS","","6148951188","","deb.blackburn94@yahoo.com","SL-HMED","5092 CLEVELAND AVE","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","10/03/2022",""
"AARONS GARDEN SENIOR LIVING & MEMORY CARE, LLC","OHL51570","2973R","","5132170725","5132179436","asharp.aaronsgardenslmc@gmail.com","SL-R","3712 ROOSEVELT BOULEVARD","MIDDLETOWN","OH","45044","L12","ACTIVE","","BUTLER","36","0","11/30/2023","11/29/2023"
"AB HEALTHCARE AGENCY LLC","OHL50200","0195HHN","","6148061219","","abhealthcareagency@gmail.com","SL-HNM","5762 HIBERNIA DRIVE, APT C","COLUMBUS","OH","43232","LA2","ACTIVE","","FRANKLIN","","","09/30/2022",""
"ABACO REHABILITATION AND NURSING FACILITY","OHL01142","1540N","366313","6142245738","6142241281","gbratton@jaghealthcare.com","SL-NH","740 CANONBY PLACE","COLUMBUS","OH","43223","L11","ACTIVE","","FRANKLIN","99","0","09/01/1973","12/31/2015"
"ABBE EDUCATION CENTER AND STAFFING, LLC","OHL51731","1690HHN","","7403024091","","abbeohio@abbeeducation.com","SL-HNM","2615 SOUTH THIRD STREET SUITE A","IRONTON","OH","45638","LA2","ACTIVE","","LAWRENCE","","","10/11/2023",""
"ABBEWOOD ASSISTED LIVING THE","OHL40131","2406R","","4403668980","4403658461","thodgeman@centurypa.com","SL-R","1210 SOUTH ABBE ROAD","ELYRIA","OH","44035","L12","ACTIVE","","LORAIN","75","0","04/27/2004","05/04/2004"
"ABBINGTON ARLINGTON ASSISTED LIVING","OHL01187","2193R","","6144514575","6144513821","j.michael.haemmerle@gmail.com","SL-R","1320 OLD HENDERSON ROAD","COLUMBUS","OH","43220","L12","ACTIVE","","FRANKLIN","48","0","07/15/1998","01/11/2002"
"ABBINGTON OF PICKERINGTON PARTNERS","OHL39990","2286R","","6145770822","6148563083","j.michael.haemmerle@gmail.com","SL-R","9480 BLACKLICK-EASTERN ROAD","PICKERINGTON","OH","43147","L12","ACTIVE","","FAIRFIELD","54","0","11/28/2000","01/18/2008"
"ABBINGTON OF POWELL","OHL499867","2363R","","6147899868","6147899816","j.michael.haemmerle@gmail.com","SL-R","3971 BRADFORD COURT","POWELL","OH","43065","L12","ACTIVE","","DELAWARE","54","0","02/21/2003","01/18/2008"
"ABBOTT HOME CARE, INC","OHL50543","0537HHS","","7405349908","","abbotthc@yahoo.com","SL-HMED","209 MARION PIKE","IRONTON","OH","45638","LA1","ACTIVE","","LAWRENCE","","","09/30/2022",""
"ABBY HEALTH CARE LLC","OHL98900","2182HHS","","9375804969","","abbyhhc@gmail.com","SL-HMED","5500 ARCOLA AVE","DAYTON","OH","45449","LA1","ACTIVE","","MONTGOMERY","","","02/23/2024",""
"ABBY HEALTH CARE LLC","OHL50501","0496HHN","","9375804969","","abbyabedallah@gmail.com","SL-HNM","5500 ARCOLA AVENUE","DAYTON","OH","45449","LA2","ACTIVE","","MONTGOMERY","","","10/28/2022",""
"ABBYSHIRE PLACE HEALTH AND REHABILITATION CENTER","OHL01075","1736N","365587","7404467150","7408530020","john.evans@optalishealthcare.com","SL-NH","311 BUCKRIDGE ROAD","BIDWELL","OH","45614","L11","ACTIVE","","GALLIA","99","0","08/07/1981","12/23/2013"
"ABC HEALTH CARE, INC","OHL50304","0299HHS","","4198939700","","resha@abchealthcare.us","SL-HMED","1605 HOLLAND ROAD, SUITE A1","MAUMEE","OH","43537","LA1","ACTIVE","","LUCAS","","","09/30/2022",""
"ABC OF GREATER CLEVELAND","OHL50344","0339HHS","","4407917177","","christi@abcgrafton.com","SL-HMED","951 MAIN STREET","GRAFTON","OH","44044","LA1","ACTIVE","","LORAIN","","","09/30/2022",""
"ABC OF GREATER CLEVELAND","OHL50531","0526HHN","","4407917177","","jim@abcgrafton.com","SL-HNM","951 MAIN ST","GRAFTON","OH","44044","LA2","ACTIVE","","LORAIN","","","09/30/2022",""
"ABERDEEN CROSSINGS AL","OHL41215","2543R","","4404600686","4406468967","jzidar@npseniorliving.com","SL-R","399 BISHOP ROAD","CLEVELAND","OH","44143","L12","ACTIVE","","CUYAHOGA","99","0","07/30/2009","07/30/2009"
"ABIDE HOME HEALTHCARE AGENCY","OHL51500","1476HHN","","6462754842",""," abidehomehealthcareagency@gmail.com","SL-HNM","266 OAKVIEW CIRCLE","TALLMADGE","OH","44278","LA2","ACTIVE","","SUMMIT","","","07/17/2023",""
"ABIE CARES 4 U LLC","OHL99059","2878HHN","","5135570793","","abiecares4u@gmail.com","SL-HNM","5517 KIRBY AVE","CINCINNATI","OH","45239","LA2","ACTIVE","","HAMILTON","","","04/12/2024",""
"ABLE CARE SERVICES, LLC","OHL51208","1197HHN","","4439874581","","kwame880@gmail.com","SL-HNM","1342 GUMWOOD DR","COLUMBUS","OH","43229","LA2","ACTIVE","","FRANKLIN","","","03/10/2023",""
"ABLE SUPPORT SERVICES, INC","OHL51789","1744HHS","","6144363791","","ablesup@aol.com","SL-HMED","2931 E DUBLIN-GRANVILLE RD, STE 190","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","10/30/2023",""
"ABODE HEALTHCARE SERVICES, LLC","OHL50196","0191HHN","","4198985909","","diane@guidinghandshomehealth.com","SL-HNM","224 W WATER STREET","OAK HARBOR","OH","43449","LA2","ACTIVE","","OTTAWA","","","09/30/2022",""
"ABOVE & BEYOND HEALTHCARE AGENCY LLC","OHL99014","2832HHN","","2163571414","","rjohnson.aboveandbeyond@gmail.com","SL-HNM","6161 BUSCH BLVD, STE 318","COLUMBUS","OH","43229","LA2","ACTIVE","","FRANKLIN","","","05/13/2024",""
"ABOVE AND BEYOND HEALTHCARE SERVICES, LLC","OHL51082","1069HHS","","2202280641","","aboveandbeyond2022oh@gmail.com","SL-HMED","2852 BOUDINOT AVENUE SUITE 101","CINCINNATI","OH","45238","LA1","ACTIVE","","HAMILTON","","","08/15/2023",""
"ABSOLUTE HEALTH SERVICES","OHL50538","0532HHN","","3304988215","","chris.singer@abshealth.com","SL-HNM","7171 KECK PARK CR NW","NORTH CANTON","OH","44720","LA2","ACTIVE","","STARK","","","09/30/2022",""
