Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
,Ohio,Marion,"Census Tract 5.02, Marion County, Ohio",Census Tract,39101000502,Rural,,,,,,
,Ohio,Marion,"Census Tract 7, Marion County, Ohio",Census Tract,39101000700,Rural,,,,,,
,Ohio,Marion,"Census Tract 8, Marion County, Ohio",Census Tract,39101000800,Rural,,,,,,
,Ohio,Marion,"Census Tract 9, Marion County, Ohio",Census Tract,39101000900,Rural,,,,,,
Dental Health,6394237941,Paulding County,Geographic HPSA,Ohio,"Paulding County, OH",0.39,4,NA,Designated,Rural,09/02/2021,09/02/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Paulding,Paulding,Single County,39125,Rural,,,,,,
Dental Health,6399173760,LI - Middletown,Low Income Population HPSA,Ohio,"Butler County, OH",1.409,15,NA,Designated,Non-Rural,08/18/2021,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Butler,"Census Tract 122, Butler County, Ohio",Census Tract,39017012200,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 123, Butler County, Ohio",Census Tract,39017012300,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 126, Butler County, Ohio",Census Tract,39017012600,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 127, Butler County, Ohio",Census Tract,39017012700,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 130, Butler County, Ohio",Census Tract,39017013000,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 131, Butler County, Ohio",Census Tract,39017013100,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 132, Butler County, Ohio",Census Tract,39017013200,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 133, Butler County, Ohio",Census Tract,39017013300,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 134, Butler County, Ohio",Census Tract,39017013400,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 135, Butler County, Ohio",Census Tract,39017013500,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 136, Butler County, Ohio",Census Tract,39017013600,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 139, Butler County, Ohio",Census Tract,39017013900,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 140, Butler County, Ohio",Census Tract,39017014000,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 141, Butler County, Ohio",Census Tract,39017014100,Non-Rural,,,,,,
,Ohio,Butler,"Census Tract 144, Butler County, Ohio",Census Tract,39017014400,Non-Rural,,,,,,
Dental Health,6398265665,LI - Westwood Service Area,Low Income Population HPSA,Ohio,"Hamilton County, OH",6.832,19,NA,Designated,Non-Rural,11/04/2011,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Hamilton,"Census Tract 100.02, Hamilton County, Ohio",Census Tract,39061010002,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 100.03, Hamilton County, Ohio",Census Tract,39061010003,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 100.04, Hamilton County, Ohio",Census Tract,39061010004,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 100.05, Hamilton County, Ohio",Census Tract,39061010005,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 101, Hamilton County, Ohio",Census Tract,39061010100,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 102.01, Hamilton County, Ohio",Census Tract,39061010201,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 102.02, Hamilton County, Ohio",Census Tract,39061010202,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 107, Hamilton County, Ohio",Census Tract,39061010700,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 109, Hamilton County, Ohio",Census Tract,39061010900,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 209.01, Hamilton County, Ohio",Census Tract,39061020901,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 209.02, Hamilton County, Ohio",Census Tract,39061020902,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 212.02, Hamilton County, Ohio",Census Tract,39061021202,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 88, Hamilton County, Ohio",Census Tract,39061008800,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 97, Hamilton County, Ohio",Census Tract,39061009700,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 98, Hamilton County, Ohio",Census Tract,39061009800,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 99.01, Hamilton County, Ohio",Census Tract,39061009901,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 99.02, Hamilton County, Ohio",Census Tract,39061009902,Non-Rural,,,,,,
Dental Health,6391004373,LI - Trumbull County,Low Income Population HPSA,Ohio,"Trumbull County, OH",13.968,17,NA,Designated,Non-Rural,04/10/2012,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Trumbull,Trumbull,Single County,39155,Non-Rural,,,,,,
Primary Care,1397188078,OFAC-Akron Children's Adolescent Medicine,Other Facility,Ohio,"Summit County, OH",,15,16,Designated,Non-Rural,03/01/2017,03/15/2022
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,OFAC-Akron Children's Adolescent Medicine,215 W Bowery St,Akron,OH,44308-1069,Summit,Non-Rural,,,,,
Dental Health,6399443197,LI - Central Akron,Low Income Population HPSA,Ohio,"Summit County, OH",15.879,19,NA,Designated,Non-Rural,08/11/2006,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Summit,"Census Tract 5011, Summit County, Ohio",Census Tract,39153501100,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5017, Summit County, Ohio",Census Tract,39153501700,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5018, Summit County, Ohio",Census Tract,39153501800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5019, Summit County, Ohio",Census Tract,39153501900,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5021.01, Summit County, Ohio",Census Tract,39153502101,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5021.02, Summit County, Ohio",Census Tract,39153502102,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5022, Summit County, Ohio",Census Tract,39153502200,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5023, Summit County, Ohio",Census Tract,39153502300,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5025, Summit County, Ohio",Census Tract,39153502500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5026, Summit County, Ohio",Census Tract,39153502600,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5031, Summit County, Ohio",Census Tract,39153503100,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5032, Summit County, Ohio",Census Tract,39153503200,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5033, Summit County, Ohio",Census Tract,39153503300,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5034, Summit County, Ohio",Census Tract,39153503400,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5035, Summit County, Ohio",Census Tract,39153503500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5038, Summit County, Ohio",Census Tract,39153503800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5041, Summit County, Ohio",Census Tract,39153504100,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5042, Summit County, Ohio",Census Tract,39153504200,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5044, Summit County, Ohio",Census Tract,39153504400,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5045, Summit County, Ohio",Census Tract,39153504500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5046, Summit County, Ohio",Census Tract,39153504600,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5047, Summit County, Ohio",Census Tract,39153504700,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5048, Summit County, Ohio",Census Tract,39153504800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5052, Summit County, Ohio",Census Tract,39153505200,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5053, Summit County, Ohio",Census Tract,39153505300,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5054, Summit County, Ohio",Census Tract,39153505400,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5055, Summit County, Ohio",Census Tract,39153505500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5056, Summit County, Ohio",Census Tract,39153505600,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5057, Summit County, Ohio",Census Tract,39153505700,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5058, Summit County, Ohio",Census Tract,39153505800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5059, Summit County, Ohio",Census Tract,39153505900,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5061, Summit County, Ohio",Census Tract,39153506100,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5062, Summit County, Ohio",Census Tract,39153506200,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5064, Summit County, Ohio",Census Tract,39153506400,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5065, Summit County, Ohio",Census Tract,39153506500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5066, Summit County, Ohio",Census Tract,39153506600,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5067, Summit County, Ohio",Census Tract,39153506700,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5068, Summit County, Ohio",Census Tract,39153506800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5071.01, Summit County, Ohio",Census Tract,39153507101,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5072.01, Summit County, Ohio",Census Tract,39153507201,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5072.02, Summit County, Ohio",Census Tract,39153507202,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5072.03, Summit County, Ohio",Census Tract,39153507203,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5073, Summit County, Ohio",Census Tract,39153507300,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5074, Summit County, Ohio",Census Tract,39153507400,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5075, Summit County, Ohio",Census Tract,39153507500,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5083.01, Summit County, Ohio",Census Tract,39153508301,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5083.99, Summit County, Ohio",Census Tract,39153508399,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5086, Summit County, Ohio",Census Tract,39153508600,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5088, Summit County, Ohio",Census Tract,39153508800,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5089, Summit County, Ohio",Census Tract,39153508900,Non-Rural,,,,,,
,Ohio,Summit,"Census Tract 5090, Summit County, Ohio",Census Tract,39153509000,Non-Rural,,,,,,
Dental Health,6397512285,LI - Lee Miles,Low Income Population HPSA,Ohio,"Cuyahoga County, OH",1.103,19,NA,Designated,Non-Rural,05/29/2007,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Cuyahoga,"Census Tract 1217, Cuyahoga County, Ohio",Census Tract,39035121700,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1218, Cuyahoga County, Ohio",Census Tract,39035121800,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1219, Cuyahoga County, Ohio",Census Tract,39035121900,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1221, Cuyahoga County, Ohio",Census Tract,39035122100,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1222, Cuyahoga County, Ohio",Census Tract,39035122200,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1223, Cuyahoga County, Ohio",Census Tract,39035122300,Non-Rural,,,,,,
Dental Health,6398216038,LI - Central Toledo/Dorr Street,Low Income Population HPSA,Ohio,"Lucas County, OH",5.145,19,NA,Designated,Non-Rural,06/14/1996,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Lucas,"Census Tract 10, Lucas County, Ohio",Census Tract,39095001000,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 104, Lucas County, Ohio",Census Tract,39095010400,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 11, Lucas County, Ohio",Census Tract,39095001100,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 12.02, Lucas County, Ohio",Census Tract,39095001202,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 14, Lucas County, Ohio",Census Tract,39095001400,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 15, Lucas County, Ohio",Census Tract,39095001500,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 16, Lucas County, Ohio",Census Tract,39095001600,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 17, Lucas County, Ohio",Census Tract,39095001700,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 18, Lucas County, Ohio",Census Tract,39095001800,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 19, Lucas County, Ohio",Census Tract,39095001900,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 21, Lucas County, Ohio",Census Tract,39095002100,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 22, Lucas County, Ohio",Census Tract,39095002200,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 23, Lucas County, Ohio",Census Tract,39095002300,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 24.01, Lucas County, Ohio",Census Tract,39095002401,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 24.02, Lucas County, Ohio",Census Tract,39095002402,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 25, Lucas County, Ohio",Census Tract,39095002500,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 26, Lucas County, Ohio",Census Tract,39095002600,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 27, Lucas County, Ohio",Census Tract,39095002700,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 28, Lucas County, Ohio",Census Tract,39095002800,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 29, Lucas County, Ohio",Census Tract,39095002900,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 31, Lucas County, Ohio",Census Tract,39095003100,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 32, Lucas County, Ohio",Census Tract,39095003200,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 33, Lucas County, Ohio",Census Tract,39095003300,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 34, Lucas County, Ohio",Census Tract,39095003400,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 35, Lucas County, Ohio",Census Tract,39095003500,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 36, Lucas County, Ohio",Census Tract,39095003600,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 37, Lucas County, Ohio",Census Tract,39095003700,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 66, Lucas County, Ohio",Census Tract,39095006600,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 67, Lucas County, Ohio",Census Tract,39095006700,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 73.02, Lucas County, Ohio",Census Tract,39095007302,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 74, Lucas County, Ohio",Census Tract,39095007400,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 8, Lucas County, Ohio",Census Tract,39095000800,Non-Rural,,,,,,
,Ohio,Lucas,"Census Tract 9, Lucas County, Ohio",Census Tract,39095000900,Non-Rural,,,,,,
Dental Health,6397784677,LI-Mt Pleasant/Buckeye-Shaker,Low Income Population HPSA,Ohio,"Cuyahoga County, OH",6.874,21,NA,Designated,Non-Rural,12/02/2008,09/07/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Cuyahoga,"Census Tract 1193, Cuyahoga County, Ohio",Census Tract,39035119300,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1194.01, Cuyahoga County, Ohio",Census Tract,39035119401,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1194.02, Cuyahoga County, Ohio",Census Tract,39035119402,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1195.01, Cuyahoga County, Ohio",Census Tract,39035119501,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1195.02, Cuyahoga County, Ohio",Census Tract,39035119502,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1196, Cuyahoga County, Ohio",Census Tract,39035119600,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1197.01, Cuyahoga County, Ohio",Census Tract,39035119701,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1197.02, Cuyahoga County, Ohio",Census Tract,39035119702,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1198, Cuyahoga County, Ohio",Census Tract,39035119800,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1199, Cuyahoga County, Ohio",Census Tract,39035119900,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1202, Cuyahoga County, Ohio",Census Tract,39035120200,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1204, Cuyahoga County, Ohio",Census Tract,39035120400,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1205, Cuyahoga County, Ohio",Census Tract,39035120500,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1206, Cuyahoga County, Ohio",Census Tract,39035120600,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1207.01, Cuyahoga County, Ohio",Census Tract,39035120701,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1207.02, Cuyahoga County, Ohio",Census Tract,39035120702,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1208.01, Cuyahoga County, Ohio",Census Tract,39035120801,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1208.02, Cuyahoga County, Ohio",Census Tract,39035120802,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1211, Cuyahoga County, Ohio",Census Tract,39035121100,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1212, Cuyahoga County, Ohio",Census Tract,39035121200,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1213, Cuyahoga County, Ohio",Census Tract,39035121300,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1214.01, Cuyahoga County, Ohio",Census Tract,39035121401,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1214.03, Cuyahoga County, Ohio",Census Tract,39035121403,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1215, Cuyahoga County, Ohio",Census Tract,39035121500,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1275.01, Cuyahoga County, Ohio",Census Tract,39035127501,Non-Rural,,,,,,
Dental Health,6397371783,LI-Northeast Youngstown,Low Income Population HPSA,Ohio,"Mahoning County, OH",4.415,23,NA,Designated,Non-Rural,10/23/1995,09/07/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Mahoning,"Census Tract 8003, Mahoning County, Ohio",Census Tract,39099800300,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8004, Mahoning County, Ohio",Census Tract,39099800400,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8005, Mahoning County, Ohio",Census Tract,39099800500,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8006, Mahoning County, Ohio",Census Tract,39099800600,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8010, Mahoning County, Ohio",Census Tract,39099801000,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8016, Mahoning County, Ohio",Census Tract,39099801600,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8017, Mahoning County, Ohio",Census Tract,39099801700,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8021, Mahoning County, Ohio",Census Tract,39099802100,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8023, Mahoning County, Ohio",Census Tract,39099802300,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8024, Mahoning County, Ohio",Census Tract,39099802400,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8025, Mahoning County, Ohio",Census Tract,39099802500,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8040, Mahoning County, Ohio",Census Tract,39099804000,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8041, Mahoning County, Ohio",Census Tract,39099804100,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8042, Mahoning County, Ohio",Census Tract,39099804200,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8043, Mahoning County, Ohio",Census Tract,39099804300,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8137, Mahoning County, Ohio",Census Tract,39099813700,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8138, Mahoning County, Ohio",Census Tract,39099813800,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8139, Mahoning County, Ohio",Census Tract,39099813900,Non-Rural,,,,,,
,Ohio,Mahoning,"Census Tract 8140, Mahoning County, Ohio",Census Tract,39099814000,Non-Rural,,,,,,
